1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
0.933976, 0.935531, 0.936779, 0.936079, 0.935968
0.498332, 0.500706, 0.501096, 0.492891, 0.501290
0.353242, 0.355649, 0.356047, 0.351652, 0.351937
0.251359, 0.274733, 0.273695, 0.274985, 0.315100
0.244572, 0.241648, 0.245307, 0.242866, 0.250902
0.221986, 0.214499, 0.221563, 0.210649, 0.223146
0.199612, 0.196536, 0.196267, 0.195473, 0.202703
0.191647, 0.187629, 0.185147, 0.188261, 0.180528
0.188182, 0.192864, 0.186771, 0.200423, 0.191327
0.186823, 0.194658, 0.179752, 0.185401, 0.185322
0.182712, 0.181652, 0.179519, 0.182592, 0.181210
0.177542, 0.180300, 0.178958, 0.189501, 0.179426


