1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
2.067286, 2.071074, 2.177463, 2.139458, 2.083011
2.059118, 2.131452, 2.021897, 1.925499, 1.971176
1.880697, 2.016391, 1.966739, 1.951738, 1.835853
1.946448, 1.888624, 1.775968, 1.972481, 1.823614
1.927672, 1.832796, 1.719027, 1.611954, 1.769820
1.813699, 1.519489, 1.745087, 1.983832, 1.613192
1.731481, 1.841281, 1.884831, 1.954443, 1.489627
1.936646, 1.865595, 1.599524, 1.569022, 1.911737
2.012818, 1.561326, 1.906135, 1.935774, 1.834034
1.652201, 1.850160, 2.044296, 1.886279, 1.926130
1.985642, 2.194846, 2.243067, 2.240481, 2.332150
1.930436, 2.128456, 1.881034, 2.031213, 1.901643
