1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
0.931546, 0.896011, 0.897562, 0.898626, 0.895385
0.500786, 0.467810, 0.468954, 0.465561, 0.456733
0.354172, 0.321901, 0.324776, 0.320971, 0.324605
0.274933, 0.240362, 0.247513, 0.246925, 0.246540
0.218396, 0.222207, 0.226498, 0.227290, 0.237512
0.217126, 0.210868, 0.223287, 0.233019, 0.235675
0.209177, 0.210123, 0.207197, 0.210339, 0.208532
0.197833, 0.190242, 0.228713, 0.196408, 0.198702
0.204093, 0.186762, 0.203902, 0.195889, 0.204895
0.210979, 0.191780, 0.232241, 0.209237, 0.203020
0.180812, 0.180919, 0.184620, 0.196770, 0.183442
0.193336, 0.183032, 0.181726, 0.184620, 0.178675

 
 
 
 

 
 
 
 
