1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
2.167551, 2.486523, 2.728750, 2.506132, 2.699398 
2.307219, 2.288032, 2.365562, 2.313731, 2.309376 
2.123829, 2.120998, 2.072920, 2.083692, 2.059749 
1.999683, 2.070551, 2.081843, 2.066799, 2.025050 
2.157916, 2.184448, 2.131312, 2.112110, 2.129189 
2.235023, 2.159009, 2.012837, 1.782070, 1.782897 
1.896248, 1.889481, 1.664395, 1.689840, 1.755559 
1.747424, 1.882102, 1.814974, 1.923472, 1.679924 
1.704423, 1.800052, 1.945691, 1.844406, 1.957310 
1.854926, 1.673324, 1.636598, 1.711897, 1.754349
1.843410, 1.784972, 1.845824, 1.889503, 1.871005 
1.791370, 1.801871, 1.737932, 1.779031, 1.749883 
