1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
1.965804, 1.888171, 1.787400, 1.639071, 1.436303 
5.114743, 4.916880, 5.139783, 4.880700, 4.961788 
6.026340, 6.013414, 6.544579, 6.441364, 6.432172 
6.258480, 6.226121, 6.302098, 6.261016, 6.286919 
11.996555, 11.867169, 11.871222, 12.031400, 11.935788 
11.822995, 11.831273, 11.819135, 11.827105, 11.868148 
11.225240, 11.283479, 11.375909, 11.272640, 11.264593 
11.549105, 11.530594, 11.518845, 11.548555, 11.445091 
11.679703, 11.535917, 11.567805, 11.486261, 11.470937 
11.614443, 11.622655, 11.459755, 11.487522, 11.477908 
11.612101, 11.648390, 11.642171, 11.565752, 11.612858 
11.549386, 11.529653, 11.542646, 11.334515, 11.515386 
