1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
2.276795, 2.038989, 1.739235, 1.542777, 1.609523 
1.584693, 1.461352, 1.413533, 1.392369, 1.361067 
1.279162, 1.259963, 1.345204, 1.290918, 1.323793 
1.269834, 1.422658, 1.353060, 1.248999, 1.294609 
1.456269, 1.467247, 1.471148, 1.482107, 1.445847 
1.634581, 1.656633, 1.613809, 1.725857, 1.584089 
1.430064, 1.392564, 1.366807, 1.357636, 1.389256 
1.538121, 1.490694, 1.486013, 1.456378, 1.489926 
1.472539, 1.459533, 1.487456, 1.467865, 1.449981 
1.483840, 1.482345, 1.476016, 1.469860, 1.465872 
1.485084, 1.458988, 1.485163, 1.476788, 1.486564 
1.475085, 1.480533, 1.493295, 1.486289, 1.531458 
