1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
2.237167, 2.191875, 2.211218, 2.174689, 2.157705
2.134048, 2.115444, 2.050244, 2.184753, 2.121499
1.981528, 1.944063, 2.032411, 1.982109, 1.996452
2.028166, 2.024480, 1.938040, 2.045981, 1.913178
1.951555, 2.070846, 2.044451, 2.024782, 1.993050
2.007674, 1.957160, 2.009519, 1.961957, 1.974132
1.890797, 1.926598, 1.935718, 1.984107, 2.064966
1.972051, 1.903581, 1.957406, 2.018220, 2.020838
2.087914, 2.005446, 2.009391, 1.987515, 1.885696
1.986382, 2.057215, 2.077844, 1.926864, 1.968698
2.227661, 2.191564, 2.234365, 2.101955, 2.231888
1.902243, 1.990341, 2.166551, 1.852464, 2.457353
