1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
1.972894, 2.155803, 1.739908, 1.516767, 1.620962
1.351724, 1.296248, 1.445283, 1.290454, 1.429388 
1.191252, 1.202313, 1.189050, 1.361804, 1.454304 
1.199210, 1.311395, 1.267751, 1.169436, 1.270213 
1.416022, 1.667236, 1.586273, 1.595316, 1.643110 
1.733923, 1.583443, 1.570795, 1.542528, 1.555480 
1.603879, 1.574511, 1.591870, 1.651900, 1.645040
1.561375, 1.562047, 1.562213, 1.697506, 1.596640 
1.785334, 1.639469, 1.624944, 1.586933, 1.625577 
1.628134, 1.483430, 1.458422, 1.597003, 1.611758 
1.649738, 1.759742, 1.581031, 1.587325, 1.668542 
1.584854, 1.622884, 1.649802, 1.623415, 1.687519 
